一个	одна штука, один
日常生活	повседневная жизнь, рутина; бытовой
望远镜	бинокль; подзорная труба
科学技术	наука и техника; научно-технический
第一名	первое место, первый
供应商	поставщик
债权人	кредитор, заимодавец, вкладчик
克里斯	Крис (имя)
公开信	открытое письмо
分公司	филиал предприятия; филиал
半导体	полупроводник (ПП); полупроводниковый
反革命	контрреволюция; контрреволюционный
国际法	международное право
基础设施	(базовая) инфраструктура, основные объекты
外交官	дипломат; дипломатический представитель
或者说	иными словами; иначе говоря
托马斯	Томас, Тоомас (имя)
无条件	безусловный, безоговорочный; безусловно
河北省	Хэбэй (провинция)
派出所	полицейский участок; отделение полиции
深圳市	см. 深圳
清真寺	мечеть
理所当然	так и должно быть
笔记本	тетрадь, блокнот, записная книжка
第一部	первая часть, основная часть
糖尿病	диабет, сахарный диабет
隶属于	относиться к, принадлежать, подчиняться
人口普查	перепись населения
公安局	полицейский участок
卫生部	министерство здравоохранения (минздрав)
发达国家	развитые страны
合作社	кооперативное товарищество, кооперация
吸血鬼	вампир, кровосос
哲学家	философ
国防部长	министр обороны
天津市	см. 天津
太棒了	здорово, великолепно, круто; молодец
失业率	коэффициент безработицы
座谈会	собеседование; беседа (официальная)
情人节	день влюблённых в Китае (7-й день 7-го…
日内瓦	Женева (город в Швейцарии)
曼哈顿	геогр. Манхэттен (район г. Нью-Йорк)
残疾人	инвалид; калека
环境保护	защита окружающей среды
示威者	демонстрант, протестующий
第一届	первый (о мероприятиях)
经纪人	биржевой маклер
维多利亚	Виктория (имя, топоним)
下半年	второе полугодие; во второй половине года
中产阶级	средний класс (общества)
保加利亚	Болгария
分析师	аналитик, обозреватель
指挥部	командование (орган)
消费品	предмет широкого потребления
电子书	электронная книга, e-book
精神病	психическая (душевная) болезнь
驾驶员	пилот, лётчик
麦当劳	Макдональдс, McDonald’s (сеть закусочных…
保护区	заповедник
司令部	штаб [командующего], отсек коменданта
大部份	большей частью; основная часть
如果说	если бы
得不到	не мочь заполучить
总统府	резиденция президента
战斗力	боевая способность, боеспособность
无能为力	не быть в состоянии помочь; бессильный
星期二	вторник
最高法院	верховный суд
漫画家	карикатурист, мангака
社会学	социология
第一批	первая партия
第一步	первый шаг (этап)
范冰冰	Фань Бинбин (китайская актриса и певица)
高科技	высокотехнологичный, высокая технология
一口气	(один) вздох
一阵子	см. 一阵
关键词	ключевое слово
刘少奇	Лю Шаоци (государственный деятель
华尔街	(англ. Wall Street) Уолл-Стрит (улица в…
参与者	участник
子公司	дочерняя компания, филиал
建筑师	архитектор, зодчий, строитель
恐怖分子	террорист
拿破仑	Наполеон
星期四	четверг
有的是	сколько угодно; хватает, хоть отбавляй
留下来	оставаться, задерживаться
纳税人	налогоплательщик
胡说八道	Что за вздор! (возмущение очевидной…
艺术品	произведение искусства, предмет искусства
重庆市	см. 重庆
一模一样	совершенно одинаковые, один в один
主人公	хозяин; полновластный распорядитель
以至于	вплоть до...; вплоть до того, что...
克林顿	Клинтон (фамилия)
利比亚	Ливия
医学院	медицинский институт, медучилище
国际化	интернационализация
地铁站	станция метро
外交部长	министр иностранных дел
实名制	система (регистрации) настоящего имени
开发者	девелопер, разработчик (ПО)
星期天	воскресенье
显示器	экран, дисплей, монитор, индикатор
物理学	физика; физический
玛利亚	Мария (имя)
生日快乐	с днем рождения!
立法院	законодательная палата
纪念日	годовщина, юбилей; памятная дата
耶路撒冷	Иерусалим (город в Израиле, мужское имя)
葡萄酒	[виноградное] вино; портвейн
马德里	Мадрид (город в Испании)
黎巴嫩	Ливан
一点儿	немного, некоторое количество
三分之一	треть, одна третья
不合理	нерациональный; нерациональность
体育馆	дворец спорта, спорткомплекс
冰淇淋	мороженое
劳动者	трудящийся, труженик; рабочий
半小时	полчаса
吉隆坡	Куала-Лумпур (город в Малайзии)
夏威夷	Гавайские (Сандвичевы) о-ва, Гавайи
大屠杀	массовое убийство, бойня, погром, резня
就行了	см. 就行
尼日利亚	Нигерия
帝国主义	империализм; империалистический
广州市	см. 广州
总公司	материнская компания, главная контора
成千上万	многотысячный, бесчисленный, несметный
执政党	правящая партия, партия власти
普通人	гражданин, человек
机械化	механизировать; механизация; машинизация
继承人	юр. наследник, преемник
西北部	северо-западная часть
路透社	агентство "Рейтер"
一整天	целый день, целые сутки
亚美尼亚	Армения
修正案	поправка (напр., к резолюции
做生意	торговать, заниматься бизнесом
农作物	сельскохозяйственные культуры
决定性	решающий характер; решающий
化合物	хим. соединение
备忘录	меморандум, протокол
有史以来	с начала истории, за всю историю
查尔斯	Чарльз, Шарль (имя)
江西省	провинция Цзянси (КНР)
石家庄	Шицзячжуан (административный центр
粉红色	розовый (цвет)
被害人	юр. потерпевшее лицо, потерпевший
迈阿密	Майами
进出口	импорт и экспорт; импортный и экспортный
面对面	в ходе личной встречи, с глазу на глаз
上市公司	публичная компания
中央军委	сокр. ЦВС (Центральный военный совет КПК)
人民网	интернет-версия «Жэньминь жибао»
众所周知	общеизвестно, что...; всем известно
会计师	бухгалтер
党组织	партийная организация
全方位	по всем направлениям; всесторонний
共产党员	член коммунистической партии, коммунист
创造性	творческая инициатива, дух творчества
安徽省	Аньхой (провинция)
小姑娘	девочка, детка, девушка, девчонка
开幕式	церемония открытия
文化部	министерство культуры (минкульт)
日本政府	японское правительство
有期徒刑	тюремное заключение на определённый срок
服务员	обслуживающий персонал
爱德华	Эдвард, Эдуард (имя)
玩意儿	см. 玩意
种族歧视	расовая дискриминация
绝大部分	подавляющее большинство
评论家	рецензент, критик, обозреватель
迈克尔	Майкл, Михаэль (имя)
通讯社	информационное агентство, агентство печати
金字塔	пирамида
一次性	одноразовый
一连串	последовательность, серия, цепь
不足以	недостаточно, чтобы...
中小学	начальная и средняя школа
利物浦	Ливерпуль (город в Великобритании
加勒比	Карибы; карибский
加油站	заправочная станция
十字架	крест, распятие
国民政府	ист. Национальное правительство…
国民经济	национальная экономика, народное хозяйство
微生物	микроорганизм, микроб; микробиологический
打招呼	поздороваться, приветствовать
摩洛哥	Марокко
政府部门	правительственные учреждения
斯洛伐克	Словакия; словаки; словацкий
斯里兰卡	Шри-Ланка
物理学家	физик
电视机	телевизор, телевизионный приёмник
自卫队	отряд самообороны (также название…
责任感	чувство ответственности
路易斯	Луис, Луиз, Льюис, Луиш (фамилия, имя)
不知不觉	не зная и не чувствуя; незаметно для себя
东南部	юго-восток, юго-восточная часть
传感器	датчик, детектор, сенсор, трансмиттер
副作用	отрицательное влияние; дурные последствия
哈佛大学	Гарвардский университет
大幅度	значительно, в больших размерах
奴隶制	рабовладельческий строй
小男孩	мальчик
数学家	математик
显而易见	предельно ясный, совершенно очевидный
法兰西	Франция; французский
离不开	невозможно покинуть (расстаться)
稳定性	устойчивость, стабильность, выдержанность
经济效益	экономическая выгода, экономический эффект
维吾尔	уйгуры
美国国会	Конгресс США (англ. United States…
计划生育	планирование семьи; контроль рождаемости
辽宁省	провинция Ляонин (КНР)
这样的话	в этом случае, если так
长期以来	издавна, с древних времён
黑社会	мафия, организованная преступность
不怎么	не очень-то; не так уж
二氧化碳	углекислый газ, двуокись углерода
加勒比海	Карибское море
南美洲	Южная Америка
司法部	Министерство юстиции, Минюст
固定资产	фиксированные активы, неликвидные активы
有限责任	юр. ограниченная ответственность
游泳池	плавательный бассейн
现场直播	прямой эфир с места событий
电子商务	электронная коммерция
管理者	менеджер, управленец, управляющий
老年人	пожилой, старый человек
不必要	ненужный
中小企业	средний и малый бизнес
保险公司	страховая компания
克罗地亚	Хорватия
印度人	индиец
哈萨克	казахи; казахский
地下水	подземные (грунтовые) воды
墨尔本	Мельбурн (город в Австралии)
安理会	сокр. 联合国安全理事会
德意志	(нем. Deutsch) Германия; германский
性生活	половая жизнь
性行为	половой акт, коитус
文化遗产	культурное наследие, культурные ценности
武汉市	см. 武汉
电视节目	ТВ-программа
自然资源	природные ресурсы; полезные ископаемые
要不然	а то; а не то; иначе; если не так
试试看	попробовать, попытаться, посмотреть
通货膨胀	инфляция
领事馆	консульство
不管怎样	несмотря на это [всё равно]
主题曲	основная музыкальная тема; заглавная песня
宣传部	отдел пропаганды и агитации, агитпроп
当地人	местный житель, абориген
欧洲人	европеец
游戏机	игровое устройство (напр., консоль
独一无二	единственный, несравненный, уникальный
福建省	провинция Фуцзянь
难以置信	трудно поверить, верится с трудом
高尔夫	гольф (спортивная игра)
三角洲	дельта (реки)
上个月	прошлый месяц; в прошлом месяце
不动产	недвижимое имущество, недвижимость
中国队	сборная Китая, китайская команда
中新网	сокр. от 中国新闻网
公积金	неделимый фонд (кооператива
大连市	см. 大连
孟加拉	Бангладеш
安东尼	Энтони, Антони, Антоний (имя)
工商业	промышленность и торговля
星期三	среда
浪费时间	тратить время впустую
神经病	мед. невропатия, нервные болезни
纪念馆	мемориальный музей
肯尼亚	Кения (государство в Восточной Африке)
西雅图	Сиэтл (город в США)
要不是	если бы не...; без
诺贝尔奖	Нобелевская премия
高新技术	высокие технологии, новые технологии
不至于	[дело] не может дойти до...
主席团	президиум
乌拉圭	Уругвай
传染病	инфекционная (заразная) болезнь
南京市	см. 南京
卡洛斯	Карлос, Карлуш (имя)
印度洋	Индийский океан
听证会	судебное заседание, слушание по делу
委员长	председатель комитета (комиссии)
对外开放	открытость внешнему миру
生物学	биология; биологический
看电视	смотреть телевизор
罗马帝国	ист. Римская империя
西伯利亚	Сибирь
规范化	унифицировать[ся]. стандартизировать[ся]
迪士尼	Дисней (фамилия)
不可避免	неизбежный, неотвратимый; неизбежно
仅次于	уступать только...
代理人	представитель, агент
内政部	Министерство внутренних дел
军政府	военное правительство, военная хунта
几内亚	Гвинея, гвинейский
历史学家	историк
司令员	командующий; военный комендант
基本法	основной закон
女演员	актриса
政治部	политический отдел, политотдел
时间表	расписание, график
牛仔裤	джинсы, джинсовые брюки
玩游戏	играть в игру
电动车	электроскутер, электро-мотороллер
研究者	исследователь
科索沃	Косово
第五届	пятый (о мероприятиях)
维吾尔族	уйгуры (одно из национальных меньшинств…
网络安全	кибербезопасность, сетевая безопасность
联系方式	контактные данные, контактная информация
自由主义	либерализм
著作权	авторское право (copyright
西南部	юго-западная часть
诺基亚	Нокия, Nokia (мобильные телефоны)
这辈子	в этой жизни; за всю жизнь
传教士	проповедник, миссионер
农业部	министерство сельского хозяйства
原子弹	атомная бомба
参谋长	начальник штаба
增长率	темпы роста
多样性	разнообразие, многообразие, вариативность
季后赛	спорт плей-офф (обычно в NBA)
新世纪	21-ый век
爱国主义	патриотизм
爱国者	патриот -----Aigo (китайский…
电子邮件	электронное письмо, электронная почта
组成部分	составная часть, компонент
至关重要	крайне важный, жизненно важный
西游记	«Путешествие на Запад» (классический…
解放区	освобождённый район
驱逐舰	эсминец, фрегат, эскадренный миноносец
高等学校	высшее учебное заведение, высшая школа
不久前	недавно; незадолго до (сегодняшнего…
今天下午	сегодня после обеда
代表作	характерное произведение
代言人	представитель; спикер; вестник
党委书记	секретарь партийного комитета
公安部	министерство общественной безопасности
前一天	предыдущий день
十分钟	десять минут
千万别	ни в коем случае не, ни за что
卫生间	санузел; туалет, туалетная комната; ванная
参赛者	участник (состязания)
双胞胎	двойня, близнецы
古希腊	Древняя Греция
摄影机	фотоаппарат, фотокамера
救护车	скорая помощь, машина скорой помощи
来得及	успеть, поспеть; управиться, обернуться
红楼梦	Сон в красном тереме (один из четырёх…
罗斯福	Рузвельт (фамилия)
菲利普	Филипп, Филип (имя)
袁世凯	Юань Шикай (1859–1916 гг.
霍华德	Говард (фамилия, имя)
音乐节	музыкальный фестиваль
马拉松	марафон; марафонский; обр. утомительный
世界观	филос. мировоззрение; взгляд на мир
信息化	информатизация, информативность
八路军	8-я армия, Восьмая армия (название…
副局长	заместитель начальника управления
原材料	сырьё; сырьевые материалы
发表声明	опубликовать заявление; сделать заявление
多样化	разнообразить; сделать разнообразным
好不容易	с [большим] трудом, насилу; легко ли?!
州政府	правительство штата, правительство области
总有一天	однажды, когда-нибудь
恶作剧	проделка, розыгрыш; злая шутка
打交道	поддерживать отношения, общаться
抗生素	антибиотик
政治犯	политический преступник
新世界	геогр. Новый свет
更何况	более того, тем более
武汉大学	Уханьский университет
班主任	классный руководитель (в школе)
真实性	реальность, истинность, подлинность
纺织品	текстильные изделия, текстиль
老朋友	старый друг, обр. статусный деловой…
透明度	степень прозрачности, прозрачность
里程碑	веха; знаменательный (исторический) момент
集团公司	корпорация
义务教育	обязательное образование
交通工具	транспортное средство
伊丽莎白	Елизавета, Елисавета, Элизабет (имя)
克拉克	кларк -----Кларк (имя, фамилия)
印第安人	индеец, индейцы
咖啡馆	кофейня, кафе
回忆录	воспоминания, мемуары
学生会	ученический кружок
所作所为	[все] действия и поступки; все содеянное
收音机	[радио]приёмник
玻利维亚	Боливия
生殖器	генеративный (воспроизводящий) орган
第二轮	второй раунд (матча, выборов)
索马里	Сомали
经营者	хозяйствующий субъект, собственник
老人家	почтеннейший, уважаемый; Вы
节度使	стар.
说明书	пояснительный текст
谋杀案	дело об (умышленном) убийстве
银行卡	банковская карта
阿里巴巴	Али-Баба (имя собственное)
人行道	тротуар, пешеходная дорожка
副教授	доцент, доц.
动画片	мультфильм, мультипликационный фильм
半决赛	см. 准决赛
受够了	сыт по горло, хватит
台湾省	Тайвань (провинция)
合伙人	деловой партнёр
四人帮	ист. Банда четырех
国会议员	член парламента, парламентарий
多元化	диверсификация, разнообразие, плюрализм
实习生	практикант, стажёр
市场经济	рыночная экономика
手榴弹	ручная граната, жарг. лимонка
数十万	несколько сотен тысяч, сотни тысяч
新生儿	новорождённый; неонатальный
死亡率	смертность; коэффициент смертности
法兰克福	г. Франкфурт-на-Майне (Германия)
活生生	живой, полный жизни; живой и здоровый
第一条	статья 1; ст. 1
综合性	общий (неспециализированный) характер
舍不得	тяжело расстаться, жалко
葡萄牙语	португальский язык
行政院	Исполнительный Юань
计程车	тайв. такси (с расчетом по километражу)
这样一来	таким образом, из-за этого, если так будет
连续剧	многосерийная драма, сериал
销售额	оборот, объём продаж (в денежном…
阿拉伯人	араб, арабка, аравиец, аравийка
高跟鞋	туфли на высоком каблуке
黑龙江省	Хэйлунцзян (провинция)
全国人大	ВСНП; Всекитайское собрание народных…
到头来	наконец, в конце концов
十几年	больше десяти лет
圣地亚哥	Сантьяго (топоним, имя)
太阳系	Солнечная система
尽管如此	хотя, несмотря на это
思想家	мыслитель
愈来愈	см. 越来越
慕尼黑	Мюнхен (город в Германии)
换句话说	иными словами, другими словами
比不上	не выдерживать сравнения
水资源	гидроресурсы, водные ресурсы
爱沙尼亚	Эстония
科学研究	научное исследование
紧急状态	чрезвычайное положение
经济体	экономика, экономическая система
自然界	природа
选择性	избирательность, селективность
野生动物	дикие животные
不要紧	неважно; несущественно!; ничего, ничего!
与众不同	выделяться из толпы; выдающийся
人工智能	искусственный интеллект, ИИ
各种各样	разнообразный, всевозможный, многообразный
大本营	воен. штаб-квартира, ставка
戴维斯	Дэвис, Дейвис (фамилия)
核电站	атомная электростанция, АЭС
格鲁吉亚	Грузия
法兰克	ист., этн. франки
监护人	попечитель, опекун
立陶宛	Литва
约翰逊	Джонсон, Иогансон, Йоханссон (фамилия)
纪念品	подарок на память, сувенир
纽约市	см. 纽约
美术馆	художественная галерея; галерея искусств
蒙古族	монголы (народ)
马其顿	Македония
主教练	главный тренер (напр., в футболе)
作曲家	композитор
保守派	консерваторы
共青团	сокр. комсомол, комсомолец
反过来	переворачивать, поворачивать, опрокидывать
台北市	см. 台北
圣彼得堡	Санкт-Петербург (город в России)
坏消息	плохая весть, печальные новости
培训班	кружок, секция, тренинг, учебный курс
奥林匹克	олимпийский
好日子	день свадьбы; день рождения
希腊人	грек
广播电台	радиостанция
改革开放	политика реформ и открытости (программа…
放射性	радиоактивность; радиоактивный
有所不同	отличаться в некоторой степени
有点儿	немного, несколько, чуть-чуть
毛主席	председатель Мао (см. 毛泽东)
温哥华	Ванкувер (город в Канаде; город в США)
爱因斯坦	Эйнштейн (фамилия)
竞争对手	конкурент, соперник
约瑟夫	Иосаф, Иосиф, Йозеф, Джозеф, Жозеф, Жозэф
莎士比亚	Шекспир (фамилия)
莫过于	нет ничего большего, чем
那一刻	та минута; тот момент
乱七八糟	беспорядок, путаница, кавардак; хаос
会议室	зал заседаний, конференц-зал
全心全意	всем сердцем и всеми помыслами; беззаветно
创造力	творческие силы, креативность
办公厅	канцелярия; административный отдел
发起人	основатель, учредитель; инициатор
吉林省	провинция Цзилинь (Гирин)
四分之一	одна четвёртая часть, четверть
大革命	великая революция, крупная революция
威尔斯	см. 威尔士
安全感	чувство безопасности
山西省	провинция Шаньси
拉丁美洲	Латинская Америка; латиноамериканский
斯拉夫	славяне; славянский -----Слав (имя)
有钱人	богач, состоятельный человек
民进党	Демократическая прогрессивная партия…
活下去	продолжать жить, жить дальше
独立自主	суверенный, самостоятельный, независимый
生产线	линия производства, производственная линия
第二届	второй (о мероприятиях)
经济社会	экономика и общество, экономика и социум
联邦政府	федеральное правительство
装甲车	броневик, бронемашина, бронеавтомобиль
西方人	выходцы из стран Европы и Америки
说真的	говорить правду
一封信	письмо
一无所有	ничего не иметь; ср. гол как сокол
不太好	не слишком хорошо, не очень
不敢相信	не сметь поверить, невозможно поверить
事业单位	бюджетное (некоммерческое
保持沉默	хранить молчание
卡塔尔	Катар
合作伙伴	партнёр, сотрудник; соратник
地下室	подвал, бейсмент
地理位置	географическое положение; геолокация
复旦大学	Фуданьский университет (Шанхай)
宗教信仰	религиозное верование; вероисповедание
探测器	зонд, исследовательский аппарат
教育局	отдел народного образования (городской
海内外	внутренний и внешний
生产商	производитель, изготовитель
生产总值	валовой внутренний продукт (ВВП)
电子游戏	видеоигра; компьютерная игра
目击者	очевидец, свидетель
社会党	социалистическая партия
自民党	сокр. либерально-демократическая партия
诸葛亮	Чжугэ Лян (181-234
诺贝尔	Нобель (фамилия)
达赖喇嘛	будд. Далай-лама
银行业	банковский сектор; банковское дело
一无所知	ничего не знать, не знать ни аза
下水道	канализация; подземная сточная канава
不仅如此	более того
不能不	невозможно не...; не может не...
中山大学	университет Чжуншань (имени Сунь Ятсена
修道院	xpucm. монастырь
党支部	партийная ячейка
副总裁	заместитель управляющего
印第安	индеец
反动派	реакционная клика; реакционер; реакция
可行性	осуществимость, выполнимость
在我看来	по моему мнению
好几年	несколько лет
巴塞罗那	Барселона (город и провинция, Испания)
引人注目	привлекать внимание
搜索引擎	поисковая система, поисковая служба
收视率	рейтинг аудитории (телепрограммы)
早上好	доброе утро, с добрым утром!
有色金属	цветные металлы
梵蒂冈	Ватикан, ватиканский
理查德	Ричард, Ришар, Рихард (имя)
甘肃省	провинция Ганьсу (Китай)
科威特	Кувейт
米歇尔	Мишель, Мишел, Мичел, Митчелл, Микаэль
自然而然	естественно, само собой
英特尔	«Интел», Intel (американский…
阿波罗	Аполлон (греческий и римский бог солнца)
高血压	гипертония, артериальная гипертензия, АГ
一瞬间	мгновение, короткий момент; вмиг, сразу
一等奖	первая премия, премия первой степени
为所欲为	делать все, что заблагорассудится
义和团	Ихэтуань (досл. Отряды гармонии и…
乌托邦	утопия; утопический
信息技术	информационные технологии
值得注意	заслуживать внимания
公信力	степень доверия со стороны общества
动植物	флора и фауна, животные и растения
发改委	сокр. 国家发展和改革委员会
另一半	вторая половинка (о любимом
合唱团	хоровой коллектив, хор, группа
听不懂	не в состоянии понять (на слух)
哥本哈根	Копенгаген (город в Дании)
商业银行	торговый банк, коммерческий банк
多方面	всесторонне; во всех отношениях
好奇心	любопытство, любознательность
安全局	служба безопасности
市委书记	секретарь горкома (муниципалитета)
执行官	исполнитель; администратор
拖拉机	трактор; тракторный
支持率	полит. рейтинг, уровень поддержки
政治学	политика (как наука), политическая наука
政治局	политбюро
橄榄球	регби, американский футбол
温家宝	Вэнь Цзябао (государственный и…
男孩子	мальчик
社会科学	общественные науки, социальные науки
第一轮	первый раунд, тур (матча, переговоров)
纽西兰	тайв. вм. 新西兰
莫名其妙	необъяснимый
评论员	обозреватель, комментатор
财产权	юр. имущественные права
足球赛	футбольный матч
轻工业	лёгкая промышленность
针对性	нацеленность; направленность
阿塞拜疆	Азербайджан
零部件	запчасти, комплектующие; детали и узлы
非常感谢	большое спасибо, огромное спасибо
交通事故	дорожно-транспортное происшествие, ДТП
俄国人	русские, русский
农民工	рабочий-мигрант из сельской местности
反对党	оппозиционная партия; партия в оппозиции
外交政策	внешняя политика (государства)
大不了	всего лишь; самое большее; разве что
安哥拉	Ангола (государство)
安德鲁	Эндрю (имя)
开放式	открытый, открытого типа
戏剧性	театральность; сценичность; сценичный
指导员	гид, проводник; руководитель, инструктор
杰克逊	Джексон (фамилия)
民主化	демократизация; демократизировать(ся)
海岸线	морская береговая линия
爱丽丝	Алиса, Элис (имя) -----Iris…
生命力	воля к жизни; жизненная сила
社会保障	социальное обеспечение, социальная защита
第一集	первая серия
纽约州	штат Нью-Йорк (США)
维基百科	инт. "Википедия" (популярная…
老天爷	владыка неба; царь небесный; Бог; Господь
自治州	автономный округ
自然科学	естественные науки, естествознание
艺术节	фестиваль искусств
萨达姆	Саддам (имя)
蒙古人	монгол
被告人	юр. обвиняемый; ответчик
非正式	неофициальный; частный, приватный
预告片	трейлер (рекламный ролик для фильма
风景区	живописный район (местность)
飞行器	летательный аппарат, воздушное судно
一大堆	большая куча, очень много
不用说	несомненно, разумеется, наверняка
世界银行	Всемирный банк, ВБ
丹尼尔	Даннил (имя, фамилия)
二维码	двумерный матричный код; матричный код
别无选择	нет альтернативы, нет другого выбора
前不久	недавно
千方百计	обр. всеми способами
原子能	атомная энергия
在此之前	до этого [момента], ранее
多功能	многофункциональный, многоцелевой
学术界	научные круги, научная общественность
宇航员	космонавт; астронавт
小说家	писатель, романист, беллетрист, новеллист
工人阶级	рабочий класс
工作日	рабочий день, трудовой день, будний день
弹道导弹	баллистическая ракета
总产值	эк. стоимость валовой продукции
换言之	другими словами, иначе говоря
新四军	Новая 4-я армия (1937–1946 гг.
明信片	открытое письмо, открытка
潜意识	подсознание, бессознательное
短篇小说	новелла; рассказ
美联储	Федрезерв США (Федеральная резервная…
肯尼迪	Кеннеди (фамилия)
胡萝卜	морковь
自治县	автономный уезд
蔡依林	Цай Илинь, Джолин Цай (1980 г.р.
证监会	см. 证券监督管理委员会
轨道交通	рельсовый транспорт
选举权	избирательное право
锦衣卫	цзиньи-вэй, букв. стража в парчовой…
阿联酋	Объединённые Арабские Эмираты, ОАЭ
集装箱	контейнер
一国两制	одна страна - две системы (идея
一般来说	вообще говоря, в сущности, в общем
不利于	не приносить пользы, не способствовать
亚运会	см. 亚洲运动会
众议员	член палаты депутатов, представителей
净利润	чистая прибыль
可靠性	надёжность; исправность; достоверность
商务部	министерство торговли
商学院	коммерческий колледж; школа бизнеса
嘉年华	карнавал
天文学家	астроном
小提琴	скрипка
巴格达	Багдад (город в Ираке)
布拉格	Прага (город в Чехии)
布鲁斯	муз. блюз
总决赛	спорт. финал
总编辑	главный редактор
摄像机	видеокамера
无数次	бесчисленное количество раз
曾多次	неоднократно, многократно, много раз
有效期	срок действия, срок годности
未成年人	несовершеннолетний
杀人犯	убийца
极少数	крайне малое количество
欧洲杯	Европейский кубок
民主派	демократическая группа, демократия
污染物	загрязняющее вещество, загрязнитель
法学院	юридическая школа; юридический институт
波多黎各	Пуэрто-Рико, пуэрто-риканский
现阶段	на современном этапе
研究会	исследовательское общество (ассоциация)
行政区域	административно-территориальное деление
违法行为	противозаконные действия, правонарушение
退休金	пенсия
阿拉伯语	арабский язык
马歇尔	Маршалл (фамилия)
一分钱	один фэнь (сотая часть юаня)
一路上	весь путь, вся дорога
专科学校	специальное учебное заведение
亚热带	геогр. субтропический пояс, субтропики
人道主义	гуманизм; принципы человечности
县政府	уездная управа
天主教徒	католик
天文学	астрономия
奢侈品	предметы роскоши, лакшери
孟加拉国	Бангладеш
家门口	дверь дома, вход в дом
居委会	объединение соседей, соседский комитет
工业区	промышленный парк, технопарк
师范学院	педагогический институт
新闻稿	сообщения прессы, пресс-релиз
新闻自由	свобода прессы
暴风雨	жестокий шторм, буря, гроза
朝鲜半岛	Корейский полуостров (используется в…
洗衣机	стиральная машина (бытовая)
百分百	сто из ста, стопроцентный, абсолютный
相互作用	взаимодействие; взаимодействовать
看不出	не разглядеть, непонятно, неясно
睡不着	быть не в состоянии заснуть
突尼斯	Тунис (название города и республики)
翻译成	переводить как...
革命家	революционер
马铃薯	картофель, паслён клубненосный (Solanum…
高质量	высокое качество, высококачественный
一百万	один миллион
不在意	не держать в мыслях
个人资料	персональная/личная информация
哥伦布	Колумб (фамилия)
复活节	Воскресение Христово, Пасха
巴比伦	ист. Вавилон
总司令	главнокомандующий
情报局	информационное бюро
意想不到	неожиданный, непредвиденный; внезапный
截然不同	резко отличаться
打印机	принтер; печатающее устройство
数字化	оцифровывание, дигитализация, оцифровка
法拉利	"Феррари" (автомобильная марка)
爆炸案	дело о взрыве
牙买加	Ямайка
种族主义	расизм
第一期	первый номер
花花公子	разг. золотая молодёжь, денди, франт
蝙蝠侠	Бэтмен (англ. Batman - супергерой
达尔文	Дарвин (фамилия, топоним)
金融机构	финансовые учреждения
领导小组	руководящая группа
一对一	один на один, с глазу на глаз
中美洲	Центральная Америка
人类学	антропология
付出代价	платить цену, выплатить компенсацию
侦察机	разведывательный самолёт
保证金	денежный залог, денежное обеспечение
兄弟姐妹	(родные) братья и сёстры
分辨率	разрешение, коэффициент разрешения…
制片人	продюсер, кинопродюсер
卢森堡	Люксембург (государство, город, фамилия)
